date,valeur
2024-10-10,118.4116
2024-10-11,118.7315
2024-10-14,119.1969
2024-10-15,118.8729
2024-10-16,118.751
2024-10-17,119.2333
2024-10-18,119.2842
2024-10-21,118.7361
2024-10-22,118.7887
2024-10-23,118.5413
2024-10-24,118.5457
2024-10-25,118.7547
2024-10-28,118.7892
2024-10-29,118.7991
2024-10-30,118.4782
2024-10-31,117.5382
2024-11-01,118.1158
2024-11-04,117.98
2024-11-05,118.2933
2024-11-06,118.5752
2024-11-07,119.1299
2024-11-08,119.1287
2024-11-11,119.4155
2024-11-12,118.9598
2024-11-13,118.8888
2024-11-14,119.1012
2024-11-15,118.4678
2024-11-18,118.8036
2024-11-19,118.6062
2024-11-20,118.4169
2024-11-21,118.9097
2024-11-22,119.2239
2024-11-25,119.2771
2024-11-26,119.2519
2024-11-27,119.0382
2024-11-28,119.1458
2024-11-29,119.3464
2024-12-02,119.5141
2024-12-03,119.6747
2024-12-04,119.9132
2024-12-05,120.219
2024-12-06,120.0795
2024-12-09,120.0504
2024-12-10,119.9398
2024-12-11,120.0758
2024-12-12,120.043
2024-12-13,119.9759
2024-12-16,119.8896
2024-12-17,119.6481
2024-12-18,119.8018
2024-12-19,118.7154
2024-12-20,118.8407
2024-12-23,118.651
2024-12-27,119.0662
2024-12-30,118.7695
2025-01-02,119.2579
2025-01-03,119.4551
2025-01-06,120.3636
2025-01-07,119.9394
2025-01-08,119.7423
2025-01-09,119.8688
2025-01-10,119.1378
2025-01-13,119.0294
2025-01-14,119.3856
2025-01-15,120.1045
2025-01-16,120.5229
2025-01-17,120.9867
2025-01-20,121.2678
2025-01-21,121.1533
2025-01-22,121.5566
2025-01-23,121.5685
2025-01-24,121.6628
2025-01-27,120.341
2025-01-28,120.5554
2025-01-29,121.0218
2025-01-30,121.4791
2025-01-31,121.8566
2025-02-03,121.2088
2025-02-04,121.5846
2025-02-05,121.6049
2025-02-06,122.1775
2025-02-07,121.9307
2025-02-10,122.2883
2025-02-11,122.5147
2025-02-12,122.2227
2025-02-13,122.6079
2025-02-14,122.546
